,Date,Clock,Pressure,Temperature,dP,Std.OilFlowrate,WaterFlowrate,Std.GasFlowrate,Act.GasFlowrate,GOR(std),Act.OilFlowrate,Std.Watercut,OilDensity,WaterDensity,GasDensity
670,2017-03-05,11:10:00,237.540428,109.19913999999999,2371.653133,4179.495208,72.294916,1.66835,0.077542,400.428495,4609.694593,1.568573,871.564834,1149.432017,15.613019
680,2017-03-05,11:20:00,236.544286,109.544848,2525.480822,4338.735315999999,86.871514,1.262672,0.053328,303.968165,4784.698203,2.491906,871.3911539999999,1149.36813,15.513876000000002
690,2017-03-05,11:30:00,238.513652,109.24037,2326.120162,3849.3609969999998,105.298966,1.68777,0.08437599999999999,447.797745,4359.7584990000005,0.0,871.546546,1149.425291,15.560478
700,2017-03-05,11:40:00,234.58405699999997,109.302898,2288.6358170000003,3885.472936,0.0,1.548768,0.072849,403.061579,4283.694682,0.0,871.511692,1149.412472,15.436798999999999
710,2017-03-05,11:50:00,238.12787799999998,109.63814199999999,2425.862429,4018.7879340000004,0.0,1.649086,0.07723300000000001,413.44118,4432.295972999999,0.0,871.317379,1149.341058,15.588826000000001
720,2017-03-05,12:00:00,234.437185,109.55771999999999,2340.9709629999998,4056.5174700000002,0.0,1.59435,0.073689,393.031506,4274.783138000001,1.235161,871.3591279999999,1149.3564310000002,15.454532
730,2017-03-05,12:10:00,235.54559500000002,109.54853899999999,2433.731013,4010.587858,29.952340999999997,1.5074239999999999,0.072401,380.950149,4513.25124,0.307766,871.3635859999999,1149.358069,15.508412
740,2017-03-05,12:20:00,235.26090699999997,109.53452800000001,2384.084173,3781.5237340000003,91.499655,1.518337,0.071212,400.878733,4169.726262,2.490704,871.3583779999999,1149.3561439999999,15.525208
750,2017-03-05,12:30:00,240.318298,110.23591499999999,2717.775436,4938.519089,0.0,1.467698,0.061568,301.961801,5448.405105,0.0,870.9959259999999,1149.222386,15.669873
760,2017-03-05,12:40:00,234.269506,109.410348,2281.7568969999998,3100.584274,65.64197800000001,1.679603,0.082987,551.5661650000001,3366.3688409999995,1.6771340000000001,871.433559,1149.383817,15.499920999999999
770,2017-03-05,12:50:00,238.34050200000001,109.721721,2435.872236,3591.711914,18.002792000000003,1.7745950000000001,0.087818,494.62398600000006,4024.507922,0.0,871.255342,1149.318215,15.624791
780,2017-03-05,13:01:00,235.963333,109.621354,2386.422011,4043.2613659999997,0.0,1.53115,0.070283,378.255058,4636.786042,0.0,871.322144,1149.342805,15.500608999999999
790,2017-03-05,13:11:00,237.075839,109.618477,2418.42294,3795.48355,25.060842,1.6602009999999998,0.07901799999999999,441.034583,4186.042943,0.736625,871.3219710000001,1149.342752,15.604313000000001
800,2017-03-05,13:21:00,238.09906099999998,109.99672,2590.463568,4811.569066,0.0,1.4604139999999999,0.062923,318.42339,5174.891436999999,0.009739,871.0786710000001,1149.2529710000001,15.635792000000002
